company,country,averageage,averagetenure,women%,marketcap
"G-III Apparel Group, Ltd.",USA,63,15.1,27.3,2.3
"EastGroup Properties, Inc.",USA,67.8,17.8,11.1,2.3
Mentor Graphics Corporation,USA,62.6,6.9,14.3,2.3
Chemed Corporation,USA,69.8,19.8,10,2.3
Hyprop Investments Ltd,South Africa,50.5,6,9.1,2.3
"TOOTSIE ROLL INDUSTRIES, INC.",USA,71.3,21.8,75,2.3
AVX Corporation,USA,64,6.3,0,2.3
"WESCO International, Inc.",USA,59.3,8.8,25,2.3
Cousins Properties Incorporated,USA,61.8,7.6,25,2.3
"MacDonald, Dettwiler and Associates Ltd.",Canada,64,10,14.3,2.3
"Care Capital Properties, Inc.",USA,63.3,1,14.3,2.3
"First Financial Bankshares, Inc.",USA,61.4,10.2,9.1,2.3
Frank's International N.V.,USA,64.1,2.1,0,2.3
Domtar Corporation,USA,61.4,5.9,25,2.3
WP Glimcher Inc.,USA,54.3,0.9,12.5,2.3
"Media General, Inc.",USA,60.2,3.9,20,2.3
"Wolverine World Wide, Inc.",USA,61.7,10.6,27.3,2.3
"Texas Capital Bancshares, Inc.",USA,63.3,7.9,16.7,2.3
TransAlta Renewables Inc.,Canada,59.5,3,33.3,2.3
"Coherent, Inc.",USA,60.7,8.7,14.3,2.3
"ACI Worldwide, Inc.",USA,64.7,4.5,10,2.3
"Impax Laboratories, Inc.",USA,63.7,7.9,28.6,2.3
Renishaw plc,United Kingdom,62.7,18.7,22.2,2.3
Oesterreichische Post AG,Austria,55.7,6.9,33.3,2.3
Visteon Corporation,USA,57.4,3.3,12.5,2.3
Iluka Resources Ltd.,Australia,59.2,5.1,28.6,2.3
Axiall Corporation,USA,61.4,2.9,15.8,2.3
"Interval Leisure Group, Inc.",USA,57.9,5.4,18.2,2.3
Paylocity Holding Corporation,USA,50.2,6.3,0,2.3
MINERALS TECHNOLOGIES INC.,USA,60.9,5.9,12.5,2.3
"Big Lots, Inc.",USA,59.2,5.2,44.4,2.3
Nevro Corp.,USA,53.6,2.4,12.5,2.3
"NetScout Systems, Inc.",USA,62.4,11.5,0,2.3
Hudson's Bay Company,Canada,58.4,4,18.2,2.3
Joy Global Inc.,USA,65.2,11.1,0,2.3
"Selective Insurance Group, Inc.",USA,64.6,13.1,8.3,2.3
Imperial Holdings Ltd,South Africa,57.3,6.2,13.3,2.3
NorthStar Realty Finance Corp.,USA,56.3,8.2,16.7,2.3
"KNIGHT TRANSPORTATION, INC.",USA,61.9,11,20,2.3
Chartwell Retirement Residences,Canada,65.1,10.5,25,2.3
Amaya Inc.,Canada,63,3.3,0,2.3
"Washington Federal, Inc.",USA,62.1,10.3,28.6,2.3
"BancorpSouth, Inc.",USA,64.3,8.8,7.7,2.3
Bechtle AG,Germany,56.8,8,33.3,2.3
Kosmos Energy Ltd.,USA,58.2,4.2,0,2.3
CACI International Inc,USA,69.6,13.1,0,2.3
YELP INC.,USA,47.9,6.8,25,2.3
OceanaGold Corporation,Canada,69,5.8,12.5,2.3
"Fairchild Semiconductor International, Inc.",USA,65.1,8.8,11.1,2.3
Close Brothers Group plc,United Kingdom,59.8,6.3,33.3,2.3
Cominar Real Estate Investment Trust,Canada,65,8.8,30,2.3
Dunelm Group plc,United Kingdom,51.2,6.3,22.2,2.3
National General Holdings Corp.,USA,61.9,4.1,14.3,2.3
Companhia Paranaense de Energia - COPEL,Brazil,54.4,2.1,0,2.3
TMX Group Limited,Canada,59.5,3.3,27.8,2.3
"Owens & Minor, Inc.",USA,62.9,9.4,18.2,2.3
"Dril-Quip, Inc.",USA,57.8,6.8,0,2.2
ANSALDO STS S.P.A.,Italy,57.9,2,33.3,2.2
"Steven Madden, Ltd.",USA,56.5,7.8,25,2.2
Doosan Heavy Industries & Construction Co.,South Korea,58,7,0,2.2
IMA S.p.A. (Industria Macchine Automatiche),Italy,54.3,13.5,23.1,2.2
NOVAGOLD RESOURCES INC.,USA,64.3,9.9,9.1,2.2
"Kennedy-Wilson Holdings, Inc.",USA,69.4,14.7,14.3,2.2
J & J SNACK FOODS CORP.,USA,64,23,0,2.2
HNI Corporation,USA,58.9,12.4,44.4,2.2
"INC Research Holdings, Inc.",USA,57.3,5.4,0,2.2
TCF Financial Corporation,USA,64.5,8.2,13.3,2.2
Mondi Ltd,South Africa,59.2,6.6,22.2,2.2
Sixt SE,Germany,60.3,7,0,2.2
Rowan Companies plc,USA,65,5.6,11.1,2.2
Carsales.com Ltd.,Australia,58.7,11.3,16.7,2.2
"Coeur Mining, Inc.",USA,60.8,9.1,12.5,2.2
Intrum Justitia AB,Sweden,56.1,3.1,37.5,2.2
CompuGroup Medical SE,Germany,51,5.5,0,2.2
Essentra plc,United Kingdom,60.3,3,14.3,2.2
"Core-Mark Holding Company, Inc.",USA,64.1,9.9,0,2.2
Acron JSC,Russia,57.3,4.1,0,2.2
Sterling Bancorp,USA,66.6,13,6.3,2.2
NOW Inc.,USA,60.2,2,11.1,2.2
Covanta Holding Corporation,USA,62.1,11.4,20,2.2
Hotel Shilla Co.,South Korea,55.9,4.7,14.3,2.2
"Ormat Technologies, Inc.",USA,61.6,4.9,12.5,2.2
HomeServe plc,United Kingdom,52,7,12.5,2.2
Stifel Financial Corp.,USA,64.2,9.3,11.1,2.2
"WageWorks, Inc.",USA,62,8.6,12.5,2.2
National Express Group plc,United Kingdom,55.3,3.6,18.2,2.2
Essent Group Ltd.,USA,51,5.2,0,2.2
Television francaise 1 TF1,France,57.5,7.5,54.5,2.2
Odontoprev S.A.,Brazil,62.2,5.2,0,2.2
Drew Industries Incorporated,USA,60.2,11,0,2.2
Churchill Downs Incorporated,USA,63.5,11.1,10,2.2
Metropole Television M6,France,55.6,6.4,41.7,2.2
Manitoba Telecom Services Inc.,Canada,61.4,9,40,2.2
"Myriad Genetics, Inc.",USA,65,8.9,14.3,2.2
Ocado Group plc,United Kingdom,52.1,7.9,18.2,2.2
Immofinanz AG,Austria,51.9,3.2,11.1,2.2
The Foschini Group Ltd,South Africa,56.8,9.5,30,2.2
"Dillard's, Inc.",USA,66.7,21,8.3,2.2
MGIC Investment Corporation,USA,63.8,7.9,9.1,2.2
Clicks Group Ltd,South Africa,58.9,9.1,33.3,2.2
"Greif, Inc.",USA,61.9,11.8,20,2.2
"Hilltop Holdings, Inc.",USA,64.4,6.7,4.8,2.2
Skycity Entertainment Group Ltd.,New Zealand,57,4.9,14.3,2.2
Banco Popolare Scarl,Italy,57.5,5.3,20.8,2.2
Rexnord Corporation,USA,58.3,2.9,10,2.2
Hays plc,United Kingdom,54.4,4.9,25,2.2
"U.S. Silica Holdings, Inc.",USA,57.6,4,0,2.2
Reliance Power Ltd.,India,63.2,4.7,16.7,2.2
Reliance Infrastructure Ltd.,India,63,5.4,14.3,2.2
Wright Medical Group N.V.,USA,60.1,4.3,22.2,2.2
"Glacier Bancorp, Inc.",USA,63.6,8.5,20,2.2
"Alexander's, Inc.",USA,75,25.3,12.5,2.2
Hancock Holding Company,USA,61.3,10,15.4,2.2
PBF Energy Inc.,USA,68.8,2.5,10,2.2
Boyd Gaming Corporation,USA,63.3,13.5,27.3,2.1
"Watts Water Technologies, Inc.",USA,58.9,4.4,11.1,2.1
MSA Safety Incorporated,USA,63.9,13.6,25,2.1
MicroStrategy Incorporated,USA,55.4,13,0,2.1
"Cal-Maine Foods, Inc.",USA,59.5,11.3,16.7,2.1
Silicon Laboratories Inc.,USA,54,6.1,11.1,2.1
"ELECTRONICS FOR IMAGING, INC.",USA,62.3,13.5,0,2.1
Britvic plc,United Kingdom,55.3,6,12.5,2.1
KWS Saat SE,Germany,74,8,16.7,2.1
"Armstrong World Industries, Inc.",USA,61.3,5,11.1,2.1
Ansell Ltd.,Australia,63,7.5,25,2.1
Pegasystems Inc.,USA,66.3,13.8,12.5,2.1
Nemetschek SE,Germany,72,11.7,0,2.1
"TRI Pointe Group, Inc.",USA,60.8,2.5,12.5,2.1
Transmissora Alianca De Energia Eletrica SA,Brazil,60.6,1.5,0,2.1
"Lithia Motors, Inc.",USA,63.9,12.4,14.3,2.1
AVI Ltd,South Africa,50.7,7.5,18.2,2.1
"Western Refining, Inc.",USA,57.9,8.4,0,2.1
Sanmina Corporation,USA,66.4,13.3,11.1,2.1
"The Boston Beer Company, Inc.",USA,58,9.4,11.1,2.1
Platform Specialty Products Corporation,USA,53,2.6,0,2.1
NorthStar Asset Management Group Inc.,USA,56.3,1,14.3,2.1
Aurubis AG,Germany,59.5,5.9,16.7,2.1
Daewoo Engineering & Construction Co.,South Korea,60.1,1.9,0,2.1
"Bloomin' Brands, Inc.",USA,56.8,7.1,37.5,2.1
"Entegris, Inc.",USA,62.1,7,0,2.1
SunPower Corporation,USA,59.2,6,11.1,2.1
Dynegy Inc.,USA,58.1,4.1,14.3,2.1
OCI Co. Ltd.,South Korea,58.7,9.4,0,2.1
Nektar Therapeutics,USA,63.5,12.1,0,2.1
Verint Systems Inc.,USA,66.6,10.6,0,2.1
"Diamond Resorts International, Inc.",USA,55.8,4.1,22.2,2.1
Amplifon S.p.A.,Italy,62,7.8,33.3,2.1
Banca Popolare di Milano Scarl,Italy,64.2,5,22.2,2.1
Neogen Corporation,USA,72.1,13.9,0,2.1
"Carrizo Oil & Gas, Inc.",USA,66.1,16,0,2.1
Autogrill Spa,Italy,59.6,6.9,7.7,2.1
CEB Inc.,USA,55.2,7.7,22.2,2.1
"Press Ganey Holdings, Inc.",USA,57.9,3.6,22.2,2.1
Masonite International Corporation,USA,61.2,5.6,11.1,2.1
Tsogo Sun Holdings Ltd.,South Africa,54.2,3.7,11.1,2.1
LPL Financial Holdings Inc.,USA,59.9,5.9,22.2,2.1
WestJet Airlines Ltd.,Canada,61.8,7.5,16.7,2.1
Outokumpu Oyj,Finland,58.6,2.9,33.3,2.1
Credito Emiliano S.p.A. (Credem),Italy,62.8,13,16.7,2.1
IMAX Corporation,USA,61.3,9,10,2.1
ABM Industries Incorporated,USA,64.6,8.8,40,2.1
The Navigator Company SA,Portugal,54.7,5.9,0,2.1
Exxaro Resources Ltd,South Africa,58.4,5.5,16.7,2.1
Houghton Mifflin Harcourt Company,USA,63.4,4.9,28.6,2.1
"AMN Healthcare Services, Inc.",USA,63.6,10.5,25,2.1
Macquarie Atlas Roads Ltd.,Australia,57.6,5.6,14.3,2.1
"KBR, Inc.",USA,63.4,5,10,2.1
Ultragenyx Pharmaceutical Inc.,USA,58.4,2.4,0,2.1
Pebblebrook Hotel Trust,USA,60.6,6.7,28.6,2.1
Drillisch AG,Germany,57.2,5.7,16.7,2.1
Sports Direct International plc,United Kingdom,54.7,11,14.3,2.1
The New York Times Company,USA,58.2,8.9,28.6,2.1
"VeriFone Systems, Inc.",USA,60.9,5.7,33.3,2.1
Sopra Steria Group,France,60.6,6.3,36.8,2.1
"Parkway Properties, Inc.",USA,57.7,4.8,20,2.1
Ophthotech Corporation,USA,57.8,6.5,0,2.1
Mercialys,France,56.3,5.6,41.7,2.1
Samsung Heavy Industries Co. Ltd.,South Korea,60.1,2.3,0,2.1
Massmart Holdings Ltd,South Africa,52.4,7.2,20,2.1
"Monro Muffler Brake, Inc.",USA,67,15.8,11.1,2.1
Tarkett,France,59.8,7.1,22.2,2.1
Matador Resources Company,USA,63,6,11.1,2.1
Commercial Metals Company,USA,65.2,6.5,18.2,2.1
Hyundai WIA Corp.,South Korea,58.3,2,0,2
Investa Office Fund,Australia,65,2.6,20,2
"Novavax, Inc.",USA,62,9,14.3,2
Societa Iniziative Autostradali e Servizi SpA (SIAS),Italy,54.9,5.7,26.7,2
Moneysupermarket.com Group plc,United Kingdom,54.6,4,25,2
Eurocommercial Properties NV,Netherlands,65.5,2.3,16.7,2
Pretium Resources Inc.,Canada,53.5,3.9,12.5,2
"Great Western Bancorp, Inc.",USA,61.3,1.5,12.5,2
"American Assets Trust, Inc.",USA,66.8,5,0,2
Shenandoah Telecommunications Company,USA,61.8,15.7,22.2,2
"Universal Forest Products, Inc.",USA,61.4,10.7,9.1,2
Boardwalk Real Estate Investment Trust,Canada,54,10.1,28.6,2
FLSmidth & Co.A/S,Denmark,51,4.7,20,2
National Bank of Greece SA,Greece,60.9,2.5,15.4,2
"On Assignment, Inc.",USA,61,11.1,0,2
"Hillenbrand, Inc.",USA,60.4,5.7,18.2,2
Blackmores Ltd.,Australia,47,12.1,28.6,2
"MasTec, Inc.",USA,60.9,13.8,12.5,2
"Mueller Industries, Inc.",USA,66.4,9.7,0,2
"Groupon, Inc.",USA,53,5,11.1,2
Air Canada,Canada,62.1,5.4,25,2
"LTC Properties, Inc.",USA,66.2,11.4,40,2
Cott Corporation,USA,63.2,10.3,10,2
Moog Inc.,USA,60.2,9.3,11.1,2
"Commvault Systems, Inc.",USA,60.4,13.4,0,2
Noble Corporation plc,USA,59.1,10.1,25,2
Finisar Corporation,USA,65.8,11.7,0,2
Balchem Corporation,USA,58.8,8.1,0,2
"Surgical Care Affiliates, Inc.",USA,52.1,2.3,11.1,2
"Cohen & Steers, Inc.",USA,66.5,10.3,0,2
Deckers Outdoor Corporation,USA,58.1,6.2,33.3,2
Valmet Corp,Finland,54.3,1.9,37.5,2
"Simpson Manufacturing Co., Inc.",USA,64.8,12.1,50,2
Balfour Beatty plc,United Kingdom,61.6,2.8,12.5,2
BT Investment Management Ltd.,Australia,53,3.7,33.3,2
Wincor Nixdorf AG,Germany,55.8,8.2,25,2
"Dave & Buster's Entertainment, Inc.",USA,54.8,4.9,22.2,2
"Ironwood Pharmaceuticals, Inc.",USA,60.6,7.1,22.2,2
"Dorman Products, Inc.",USA,66.2,15,0,2
Granite Construction Incorporated,USA,65.6,8.3,0,2
"InterDigital, Inc.",USA,56.4,6.6,12.5,2
Elis,France,50.9,3.2,33.3,2
ALS Limited,Australia,60.7,4.1,14.3,2
Harmony Gold Mining Company Ltd,South Africa,59.3,8.3,20,2
Evercore Partners Inc.,USA,67.2,6.7,11.1,2
Barnes Group Inc.,USA,59.2,9.9,20,2
AMS AG,Austria,59.5,7.4,11.1,2
Marriott Vacations Worldwide Corporation,USA,67.6,4.5,12.5,2
IOOF Holdings Ltd.,Australia,61.2,8.2,33.3,2
EverBank Financial Corp,USA,56.1,9.4,9.1,2
Air France Klm,France,60.1,3.5,33.3,2
"Grand Canyon Education, Inc.",USA,59.4,6.7,14.3,2
"Capitol Federal Financial, Inc.",USA,60.5,14.3,12.5,2
Cineworld Group plc,United Kingdom,63.8,4.8,33.3,2
DSW Inc.,USA,60.9,8,37.5,2
Matthews International Corporation,USA,60,6.3,10,2
"MGE Energy, Inc.",USA,65.9,10.6,25,2
GATX Corporation,USA,63.7,7.4,11.1,1.9
Cardtronics plc,USA,60,6.8,25,1.9
Duluxgroup Ltd,Australia,63.5,4.9,28.6,1.9
Unipol Gruppo Finanziario SpA,Italy,60.9,7.2,20,1.9
Intersil Corporation,USA,56.9,4.7,14.3,1.9
AA plc,United Kingdom,56.1,1.9,14.3,1.9
"Cogent Communications Holdings, Inc.",USA,58.3,11.5,0,1.9
"Exelixis, Inc.",USA,65.1,14.7,0,1.9
Samsung Engineering Co. Ltd.,South Korea,58.9,2.6,0,1.9
"Colony Capital, Inc.",USA,68,6.2,16.7,1.9
Kemira OYJ,Finland,56.3,4,42.9,1.9
"Sanderson Farms, Inc.",USA,67.5,16.7,30.8,1.9
Doosan Co.,South Korea,60.3,14.3,0,1.9
El Paso Electric Company,USA,62.4,12.2,18.2,1.9
Duratex S.A.,Brazil,57.4,7.8,0,1.9
Drax Group plc,United Kingdom,57.3,4.7,14.3,1.9
IAMGOLD Corporation,Canada,62.2,10.6,14.3,1.9
"Herman Miller, Inc.",USA,59.1,11.1,36.4,1.9
Mayne Pharma Group Limited,Australia,66,5.3,0,1.9
Reliance Communications Ltd.,India,63.5,6.3,16.7,1.9
"RealPage, Inc.",USA,61.6,9.5,12.5,1.9
Rhoen-Klinikum AG,Germany,65.3,6,37.5,1.9
"Blackhawk Network Holdings, Inc.",USA,62.1,5.9,18.2,1.9
Anixter International Inc.,USA,63.8,16.3,16.7,1.9
"Community Bank System, Inc.",USA,59.8,10.7,7.7,1.9
John Bean Technologies Corporation,USA,62,6.7,28.6,1.9
Aareal Bank AG,Germany,60.1,4.4,33.3,1.9
"MACOM Technology Solutions Holdings, Inc.",USA,56.2,4.8,0,1.9
Insulet Corporation,USA,59.4,4.1,37.5,1.9
"Xenia Hotels & Resorts, Inc.",USA,59.3,1.1,25,1.9
UNIQA Insurance Group AG,Austria,57.4,6.5,13.3,1.9
LG Innotek Co.,South Korea,52.4,1.4,0,1.9
ESTERLINE TECHNOLOGIES CORPORATION,USA,62,6.6,22.2,1.9
"Mueller Water Products, Inc.",USA,70.6,8.9,22.2,1.9
UDG Healthcare plc,United Kingdom,55.5,7.9,20,1.9
DiamondRock Hospitality Company,USA,61.3,8.6,14.3,1.9
Kennametal Inc.,USA,61.3,8,12.5,1.9
"Triumph Group, Inc.",USA,62.6,8.3,10,1.9
Sydbank A/S,Denmark,54.3,5.2,9.1,1.9
Vedanta Resources plc,United Kingdom,61,9.8,12.5,1.9
"CBL & Associates Properties, Inc.",USA,65.7,9.8,11.1,1.9
Wereldhave NV,Netherlands,55.8,2.8,16.7,1.9
"Vishay Intertechnology, Inc.",USA,67.9,12.1,11.1,1.9
TAG Immobilien AG,Germany,54,2,0,1.9
CVB Financial Corp.,USA,58.1,5.1,14.3,1.9
Synaptics Incorporated,USA,61.8,12.8,0,1.9
"Alexander & Baldwin, Inc.",USA,59.6,3.2,20,1.9
Raging River Exploration Inc.,Canada,58.7,4.3,0,1.9
SSP Group plc,United Kingdom,56.6,3,12.5,1.9
CARPENTER TECHNOLOGY CORPORATION,USA,64.9,10.2,9.1,1.9
"Office Depot, Inc.",USA,61.9,3.1,20,1.8
Cambrex Corporation,USA,67.1,13.8,22.2,1.8
Party City Holdco Inc.,USA,55,3,9.1,1.8
"Penumbra, Inc.",USA,58.8,5.7,0,1.8
Nexans,France,56.7,5.4,41.7,1.8
"Shutterstock, Inc.",USA,50.7,5.2,16.7,1.8
PZ Cussons plc,United Kingdom,54.6,6.3,37.5,1.8
"Tetra Tech, Inc.",USA,63.7,12.8,22.2,1.8
International Bancshares Corporation,USA,71.2,18.8,18.2,1.8
West Corporation,USA,55.6,5,22.2,1.8
Norbord Inc.,Canada,64,8.9,0,1.8
Banco BPI S.A,Portugal,58.7,13.3,9.1,1.8
"ICU Medical, Inc.",USA,63.3,13.4,14.3,1.8
Banca Popolare dell'Emilia Romagna,Italy,61.9,5.8,33.3,1.8
RBC Bearings Incorporated,USA,65.1,9.1,0,1.8
Premier Investments Ltd.,Australia,56.3,10.6,11.1,1.8
"Applied Industrial Technologies, Inc.",USA,61.8,12.3,22.2,1.8
BRP Inc.,Canada,56.8,7.3,15.4,1.8
Salzgitter AG,Germany,65,5.3,23.8,1.8
"Ambarella, Inc.",USA,58.4,8.4,0,1.8
Assore Ltd,South Africa,60.7,9.3,22.2,1.8
"GNC Holdings, Inc.",USA,61.9,4.4,12.5,1.8
New Flyer Industries Inc.,Canada,61.6,6.1,22.2,1.8
"Tumi Holdings, Inc.",USA,57.3,3.1,14.3,1.8
Investec Ltd,South Africa,57.4,11.3,18.8,1.8
SM Energy Company,USA,60.6,7.3,12.5,1.8
Chemtura Corporation,USA,62.5,6.8,12.5,1.8
"HubSpot, Inc.",USA,53.4,6.4,25,1.8
Estacio Participacoes SA,Brazil,55.8,1.2,22.2,1.8
Dignity plc,United Kingdom,55.6,10.6,11.1,1.8
Santam Ltd,South Africa,56.9,5.7,28.6,1.8
Northwest Natural Gas Company,USA,64.5,12.6,30,1.8
The UNITE Group plc,United Kingdom,51.2,5.2,20,1.8
"FTI Consulting, Inc.",USA,61.9,4.4,25,1.8
Pattern Energy Group Inc.,USA,63.9,3.3,28.6,1.8
"Avon Products, Inc.",USA,58,2.8,50,1.8
JM AB,Sweden,56.4,4.6,33.3,1.8
Old National Bancorp,USA,64.4,10.4,21.4,1.8
Indra Sistemas S.A.,Spain,59.3,5.3,15.4,1.8
FFP,France,62.1,18.6,40,1.8
Rosseti PJSC,Russia,49.7,1.5,0,1.8
"ExlService Holdings, Inc.",USA,59.6,6.4,25,1.8
"Kumho Petro Chemical Co., Ltd.",South Korea,62,11.2,0,1.8
WS Atkins plc,United Kingdom,56.3,4.6,30,1.8
Vallourec,France,55.3,3.1,41.7,1.8
SemGroup Corporation,USA,58.3,6,14.3,1.8
KLX Inc.,USA,67.4,1,0,1.8
Millennium & Copthorne Hotels plc,United Kingdom,59.2,8.9,11.1,1.8
"Werner Enterprises, Inc.",USA,66.7,16,0,1.8
"Ebix, Inc.",USA,57.4,9.4,0,1.8
Talen Energy Corp,USA,62.6,1,12.5,1.8
"Monogram Residential Trust, Inc.",USA,55.7,3.4,11.1,1.8
Acxiom Corporation,USA,58.4,8.3,0,1.8
QinetiQ Group plc,United Kingdom,57.4,4.1,22.2,1.8
Kemper Corporation,USA,57.3,4.6,14.3,1.8
TransForce Inc.,Canada,66.1,10.2,11.1,1.8
"Revlon, Inc.",USA,57.5,6.6,30.8,1.8
"Franklin Electric Co., Inc.",USA,60.4,6.1,28.6,1.8
Xero Limited,New Zealand,53,4,14.3,1.8
Trustmark Corporation,USA,59.6,7.7,18.2,1.7
Storebrand ASA,Norway,48.7,3.3,40,1.7
"Amedisys, Inc.",USA,60.3,5.8,20,1.7
CA Immobilien Anlagen AG,Austria,49.4,2.9,28.6,1.7
Modern Times Group MTG AB,Sweden,49.5,4.7,16.7,1.7
"Columbia Banking System, Inc.",USA,63.6,8.3,36.4,1.7
Tod's SPA,Italy,57.4,10.1,21.4,1.7
"HealthEquity, Inc.",USA,55.1,6.6,11.1,1.7
Whiting Petroleum Corporation,USA,68.1,7.1,12.5,1.7
Victrex plc,United Kingdom,56.7,5.9,33.3,1.7
Cheil Worldwide Inc.,South Korea,52.8,7.8,0,1.7
Canadian Western Bank,Canada,62.1,10.6,18.2,1.7
South State Corporation,USA,60.9,10.7,10.5,1.7
"Radius Health, Inc.",USA,55.3,2.7,10,1.7
Qualicorp SA,Brazil,60.4,2.5,0,1.7
Aircastle Limited,USA,63.3,5.6,8.3,1.7
"Liberty Tripadvisor Holdings, Inc.",USA,62.8,2.2,0,1.7
Serco Group plc,United Kingdom,61.8,2.7,30,1.7
TGS Nopec Geophysical Co. ASA,Norway,57.8,5.5,50,1.7
Korean Air Lines Co. Ltd.,South Korea,58.8,14.5,0,1.7
Sligro FOOD GROUP NV,Netherlands,57.6,2.4,20,1.7
Government Properties Income Trust,USA,67,7,20,1.7
"Intra-Cellular Therapies, Inc.",USA,63.7,2.7,16.7,1.7
"Shutterfly, Inc.",USA,56.3,3.3,28.6,1.7
LendingClub Corporation,USA,58.1,5.6,12.5,1.7
Tecnicas Reunidas S.A,Spain,72.4,16.3,7.7,1.7
TOMTOM NV,Netherlands,60.2,5,33.3,1.7
Infinera Corporation,USA,57.1,4.3,0,1.7
Grafton Group plc,United Kingdom,57,8.3,0,1.7
Independence Group NL,Australia,61,1.7,0,1.7
Dean Foods Company,USA,63.9,8.6,25,1.7
SMA Solar Technology AG,Germany,60.2,4.6,16.7,1.7
WD-40 Company,USA,63.8,11.3,22.2,1.7
"Aaron's, Inc.",USA,56,3.2,20,1.7
Dana Holding Corporation,USA,61.4,5.4,14.3,1.7
Cooper Tire & Rubber Company,USA,64,10,11.1,1.7
OM Asset Management plc,USA,57,1.7,14.3,1.7
"Magellan Health, Inc.",USA,60.9,5.9,25,1.7
Allegheny Technologies Incorporated,USA,65.4,10.1,27.3,1.7
ERG spa,Italy,57.7,10.1,8.3,1.7
Noble Group Limited,Singapore,61,7.1,8.3,1.7
Steelcase Inc.,USA,63.5,19.3,30,1.7
Interpump Group Spa,Italy,61.9,7.8,22.2,1.7
"bluebird bio, Inc.",USA,57.1,3.6,14.3,1.7
Euromoney Institutional Investor plc,United Kingdom,63.8,14.9,0,1.7
Greencore Group plc,United Kingdom,55.4,5.3,25,1.7
"Diebold, Incorporated",USA,66.5,8.9,10,1.7
"Insperity, Inc.",USA,62.6,10.6,22.2,1.7
Brickworks Ltd.,Australia,65.8,12,14.3,1.7
Titan Cement Company SA,Greece,56.5,7.8,26.7,1.7
Silver Standard Resources Inc.,Canada,60.7,5,14.3,1.7
SEMAFO INC.,Canada,62.1,7.5,12.5,1.7
"Itron, Inc.",USA,63.1,8.6,30,1.7
Kaiser Aluminum Corporation,USA,64.3,8.9,30,1.7
"Eagle Bancorp, Inc.",USA,64,11.8,0,1.7
Wienerberger AG,Austria,56.9,6.4,36.4,1.7
Charter Hall Group,Australia,56,5.6,12.5,1.7
Prothena Corporation plc,USA,63.6,3.3,0,1.7
"Polycom, Inc.",USA,58.3,7.9,28.6,1.7
Parkland Fuel Corporation,Canada,60.6,6.7,22.2,1.7
Fairfax Media Ltd.,Australia,63.2,4.1,22.2,1.7
"STAG Industrial, Inc.",USA,58.9,4.6,0,1.7
Shinsegae Co.,South Korea,56.7,1.4,0,1.7
"Nelnet, Inc.",USA,56.6,11.4,22.2,1.7
Dream Office Real Estate Investment Trust,Canada,53.6,9.4,37.5,1.7
Spire Healthcare Group plc,United Kingdom,61.2,4.1,11.1,1.7
Ladbrokes plc,United Kingdom,53.4,3.7,28.6,1.7
Time Inc.,USA,66.1,1.9,18.2,1.7
"Oil States International, Inc.",USA,66.1,11.4,12.5,1.7
"GoPro, Inc.",USA,53.3,4.1,0,1.7
"Mobile Mini, Inc.",USA,58,9.3,22.2,1.7
GS Engineering & Construction Ltd.,South Korea,60.9,3.4,0,1.7
Travelport Worldwide Limited,USA,53.1,3.1,12.5,1.7
Jumbo SA,Greece,77,0.5,28.6,1.7
"Financial Engines, Inc.",USA,61.7,7.6,22.2,1.7
Northam Platinum Ltd,South Africa,58.1,7.2,11.1,1.7
3D Systems Corporation,USA,66.7,12,11.1,1.6
Coronation Fund Managers Ltd,South Africa,53.3,6.1,42.9,1.6
Gam Holding Ltd.,Switzerland,63.2,3.3,16.7,1.6
Sotheby's,USA,57.5,5.5,27.3,1.6
Hastings Group Holdings plc,United Kingdom,55.3,1,0,1.6
"Nexstar Broadcasting Group, Inc.",USA,61.1,11.3,14.3,1.6
"New Relic, Inc.",USA,44.5,4.3,16.7,1.6
SuperGroup plc,United Kingdom,54.3,3.4,11.1,1.6
Viavi Solutions Inc.,USA,57,3.4,14.3,1.6
"Gannett Co., Inc.",USA,57,1,30,1.6
PATRIZIA Immobilien AG,Germany,64,5.3,0,1.6
Home Retail Group plc,United Kingdom,55.3,6.1,28.6,1.6
Boiron,France,61.7,16.7,45.5,1.6
Ultra Electronics Holdings plc,United Kingdom,62.5,7.5,0,1.6
Seven Group Holdings Ltd.,Australia,58.2,8.7,0,1.6
The Chemours Company,USA,62.9,1,25,1.6
Stillwater Mining Company,USA,59,3.6,14.3,1.6
AZZ Inc.,USA,62.1,9,11.1,1.6
"NETGEAR, Inc.",USA,57,8.6,33.3,1.6
The Advisory Board Company,USA,56.1,9.3,22.2,1.6
"Halyard Health, Inc.",USA,59.9,1.8,33.3,1.6
PostNL NV,Netherlands,55.8,4.3,33.3,1.6
TOTVS SA,Brazil,50.1,5.3,11.1,1.6
"RingCentral, Inc.",USA,54.8,5.6,20,1.6
"Synchronoss Technologies, Inc.",USA,59.4,12.6,0,1.6
OZ Minerals Ltd,Australia,58.7,4.5,33.3,1.6
Meritage Homes Corporation,USA,57.8,12.2,11.1,1.6
DBV Technologies,France,56.1,4.7,28.6,1.6
FirstGroup plc,United Kingdom,58.4,3,11.1,1.6
Navitas Ltd.,Australia,57.5,6.3,33.3,1.6
"Argo Group International Holdings, Ltd.",USA,64.7,8.2,11.1,1.6
Seadrill Limited,USA,54.8,4,25,1.6
Semtech Corporation,USA,65.3,11.9,22.2,1.6
